Rank,Company_Name,Employee_Number,Revenues(m),Revenues(pc),Profits,Profits(pc),Assets(m),Market_Value(m),Sector,Industry,City,State,lat,lon,Revenues(B),Profits(B),Assets(B),Fortune_Site,CEO,CEO_Title,HQ_Location
1,Walmart,"2,200,000","$514,405.00 ",2.80%,"$6,670.00 ",-32.40%,"$219,295.00 ","$279,880.00 ",Retailing,General Merchandisers, Bentonville, Arkansas,36.3729,-94.2088,514.405,6.67,219.295,https://fortune.com/fortune500/2019/walmart,C. Douglas McMillon,"President, Chief Executive Officer & Director","Bentonville, Ark."
2,Exxon Mobil,"71,000","$290,212.00 ",18.80%,"$20,840.00 ",5.70%,"$346,196.00 ","$342,172.00 ",Energy,Petroleum Refining, Irving, Texas,32.819595,-96.945419,290.212,20.84,346.196,https://fortune.com/fortune500/2019/exxon-mobil,Darren W. Woods,Chairman & Chief Executive Officer,"Irving, Texas"
3,Apple,"132,000","$265,595.00 ",15.90%,"$59,531.00 ",23.10%,"$365,725.00 ","$895,667.00 ",Technology,"Computers, Office Equipment", Cupertino, California,37.323,-122.0322,265.595,59.531,365.725,https://fortune.com/fortune500/2019/apple,Timothy D. Cook,"President, Chief Executive Officer & Director","Cupertino, Calif."
4,Berkshire Hathaway,"389,000","$247,837.00 ",2.40%,"$4,021.00 ",-91.10%,"$707,794.00 ","$493,870.00 ",Financials,Insurance: Property and Casualty (Stock), Omaha, Nebraska,41.2565,-95.9345,247.837,4.021,707.794,https://fortune.com/fortune500/2019/berkshire-hathaway,Warren E. Buffett,"Chairman, President & Chief Executive Officer","Omaha, Neb."
5,Amazon.com,"647,500","$232,887.00 ",30.90%,"$10,073.00 ",232.10%,"$162,648.00 ","$874,710.00 ",Retailing,Internet Services and Retailing, Seattle, Washington,47.36,-122.2,232.887,10.073,162.648,https://fortune.com/fortune500/2019/amazon-com,Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer","Seattle, Wash."
6,UnitedHealth Group,"300,000","$226,247.00 ",12.50%,"$11,986.00 ",13.50%,"$152,221.00 ","$237,256.00 ",Health Care,Health Care: Insurance and Managed Care, Minnetonka, Minneapolis,44.55,-93.28,226.247,11.986,152.221,https://fortune.com/fortune500/2019/unitedhealth-group,David S. Wichmann,"President, Chief Executive Officer & Director","Minnetonka, Minn."
7,McKesson,"68,000","$208,357.00 ",4.90%,$67.00 ,-98.70%,"$60,381.00 ","$22,455.00 ",Health Care,Wholesalers: Health Care, Irving, Texas,32.49,-96.5084,208.357,0.067,60.381,https://fortune.com/fortune500/2019/mckesson,Brian S. Tyler,"President, Chief Executive Officer & Director","Irving, Texas"
8,CVS Health,"295,000","$194,579.00 ",5.30%,($594.00),-109.00%,"$196,456.00 ","$69,952.00 ",Health Care,Health Care: Pharmacy and Other Services, Woonsocket, Rhode Island,42.0029,-71.5148,194.579,-0.594,196.456,https://fortune.com/fortune500/2019/cvs-health,Larry J. Merlo,"President, Chief Executive Officer & Director","Woonsocket, R.I."
9,AT&T,"268,220","$170,756.00 ",6.40%,"$19,370.00 ",-34.20%,"$531,864.00 ","$228,445.00 ",Telecommunications,Telecommunications, Dallas, Texas,32.53,-97.5948,170.756,19.37,531.864,https://fortune.com/fortune500/2019/att,Randall L. Stephenson,"Chairman, President & Chief Executive Officer","Dallas, Texas"
10,AmerisourceBergen,"20,500","$167,940.00 ",9.70%,"$1,658.40 ",355.00%,"$37,670.00 ","$16,786.00 ",Health Care,Wholesalers: Health Care, Chesterbrook, Pennsylvania,40.0757,-75.4591,167.94,1.6584,37.67,https://fortune.com/fortune500/2019/amerisourcebergen,Steven H. Collis,"Chairman, President & Chief Executive Officer","Chesterbrook, Pa."
11,Chevron,"48,600","$166,339.00 ",23.60%,"$14,824.00 ",61.20%,"$253,863.00 ","$234,050.00 ",Energy,Petroleum Refining, San Ramon, California,37.7644,-121.954,166.339,14.824,253.863,https://fortune.com/fortune500/2019/chevron,Michael K. Wirth,Chairman & Chief Executive Officer,"San Ramon, Calif."
12,Ford Motor,"199,000","$160,338.00 ",2.30%,"$3,677.00 ",-51.60%,"$256,540.00 ","$35,028.00 ",Motor Vehicles & Parts,Motor Vehicles and Parts, Dearborn, Michigan,42.3223,-83.1763,160.338,3.677,256.54,https://fortune.com/fortune500/2019/ford-motor,James P. Hackett,"President, Chief Executive Officer & Director","Dearborn, Mich."
13,General Motors,"173,000","$147,049.00 ",-6.50%,"$8,014.00 ",-,"$227,339.00 ","$52,292.00 ",Motor Vehicles & Parts,Motor Vehicles and Parts, Detroit, Michigan,42.19,-83.7108,147.049,8.014,227.339,https://fortune.com/fortune500/2019/general-motors,Mary T. Barra,Chairman & Chief Executive Officer,"Detroit, Mich."
14,Costco,"194,000","$141,576.00 ",9.70%,"$3,134.00 ",17.00%,"$40,830.00 ","$106,513.00 ",Retailing,General Merchandisers, Issaquah, Washington,47.5301,-122.0326,141.576,3.134,40.83,https://fortune.com/fortune500/2019/costco,W. Craig Jelinek,"President, Chief Executive Officer & Director","Issaquah, Wash."
15,Alphabet,"98,771","$136,819.00 ",23.40%,"$30,736.00 ",142.70%,"$232,792.00 ","$816,824.00 ",Technology,Internet Services and Retailing, Mountain View, California,37.3861,-122.0839,136.819,30.736,232.792,https://fortune.com/fortune500/2019/alphabet,Larry Page,Chief Executive Officer & Director,"Mountain View, Calif."
16,Cardinal Health,"50,200","$136,809.00 ",5.30%,$256.00 ,-80.10%,"$39,951.00 ","$14,350.00 ",Health Care,Wholesalers: Health Care, Dublin, Ohio,40.0992,-83.1141,136.809,0.256,39.951,https://fortune.com/fortune500/2019/cardinal-health,Michael C. Kaufmann,Chairman & Chief Executive Officer,"Dublin, Ohio"
