topic,term,beta
1,’_care,5.945097956692228e-6
2,’_care,1.4500875987809165e-4
3,’_care,1.0438088138961712e-179
4,’_care,5.369621576803691e-139
5,’_care,2.697325101959649e-156
6,’_care,2.041605978607252e-41
7,’_care,7.808003468110707e-99
8,’_care,1.452418607964352e-230
9,’_care,1.1267878164871204e-207
10,’_care,3.8111888795070105e-138
11,’_care,9.250691244656404e-151
12,’_care,8.499498422665946e-90
1,’_re,1.5121510284231568e-123
2,’_re,5.920258865815268e-44
3,’_re,3.685147933718041e-4
4,’_re,5.36768940274741e-133
5,’_re,2.9938529477353946e-58
6,’_re,2.556708823804315e-22
7,’_re,4.330731156679763e-108
8,’_re,7.840713475736573e-198
9,’_re,1.4943385512939643e-139
10,’_re,2.663524311145894e-85
11,’_re,2.3271509283349426e-10
12,’_re,3.77747507446096e-126
1,1_hour_lunch,2.3135680345108717e-149
2,1_hour_lunch,4.706536375420022e-292
3,1_hour_lunch,4.51242937479047e-264
4,1_hour_lunch,2.1353767777558176e-223
5,1_hour_lunch,8.694587260359921e-301
6,1_hour_lunch,4.156339150316645e-287
7,1_hour_lunch,2.2721048644753273e-287
8,1_hour_lunch,3.319197070678563e-4
9,1_hour_lunch,1.0140814986191082e-301
10,1_hour_lunch,4.0264175014784783e-261
11,1_hour_lunch,8.542703976372942e-274
12,1_hour_lunch,2.105208565087326e-143
1,1_minut_late,2.9562676490214777e-211
2,1_minut_late,2.971405616974681e-263
3,1_minut_late,5.045700508253521e-269
4,1_minut_late,1.5713647676808284e-146
5,1_minut_late,6.745702506741843e-146
6,1_minut_late,1.2610787834928947e-269
7,1_minut_late,1.951127040282693e-236
8,1_minut_late,8.297992676696407e-5
9,1_minut_late,2.0207590645353859e-268
10,1_minut_late,3.9780917905428617e-238
11,1_minut_late,1.127262926225016e-201
12,1_minut_late,1.8884288979558866e-197
1,1_short_break,1.7421685564752866e-301
2,1_short_break,0
3,1_short_break,0
4,1_short_break,0
5,1_short_break,0
6,1_short_break,0
7,1_short_break,0
8,1_short_break,1.2446989015044624e-4
9,1_short_break,0
10,1_short_break,0
11,1_short_break,0
12,1_short_break,8.953884496674946e-249
1,1_weekend_month,7.885793935870149e-236
2,1_weekend_month,3.1433195023082615e-240
3,1_weekend_month,2.3604506005535657e-258
4,1_weekend_month,2.2623474391689495e-4
5,1_weekend_month,2.3843535220203335e-238
6,1_weekend_month,8.585814179348764e-260
7,1_weekend_month,4.132659829394385e-214
8,1_weekend_month,0
9,1_weekend_month,1.9127409749850472e-113
10,1_weekend_month,2.7009733396193002e-225
11,1_weekend_month,1.507245786005645e-265
12,1_weekend_month,9.422562830835616e-152
1,10_hour_day,8.731244534941728e-188
2,10_hour_day,8.755856439376507e-270
3,10_hour_day,1.746659685904804e-207
4,10_hour_day,7.516167888330805e-188
5,10_hour_day,2.089174530319318e-257
6,10_hour_day,3.520723147619422e-247
7,10_hour_day,2.1822218489250488e-249
8,10_hour_day,1.799384772199006e-38
9,10_hour_day,7.573924120571264e-256
10,10_hour_day,2.0622803763219537e-232
11,10_hour_day,8.24309477023489e-217
12,10_hour_day,8.576944129330579e-4
1,10_hour_shift,3.613150435276455e-150
2,10_hour_shift,1.1009906346812987e-192
3,10_hour_shift,1.1728586487955944e-226
4,10_hour_shift,8.295273943619487e-4
5,10_hour_shift,7.31395664210191e-199
6,10_hour_shift,4.7599343649757003e-200
7,10_hour_shift,8.195266543122978e-177
8,10_hour_shift,6.380210615102261e-21
9,10_hour_shift,6.797293075812486e-218
10,10_hour_shift,1.2010601821282799e-169
11,10_hour_shift,7.701682860100383e-207
12,10_hour_shift,3.751460069926752e-39
1,10_hr_shift,1.47764777417428e-154
2,10_hr_shift,5.7047302213487544e-210
3,10_hr_shift,8.752215496648237e-211
4,10_hr_shift,1.5877656632138056e-114
5,10_hr_shift,1.1436169229058743e-134
6,10_hr_shift,9.150858318499147e-237
7,10_hr_shift,2.713540620151934e-210
8,10_hr_shift,1.2446989015044624e-4
9,10_hr_shift,5.9933939367870836e-232
10,10_hr_shift,5.554442845773375e-95
11,10_hr_shift,3.667078307476778e-191
12,10_hr_shift,1.6340623175605382e-140
1,10_min_break,1.1844153030544962e-243
2,10_min_break,0
3,10_min_break,3.8248137815118106e-300
4,10_min_break,2.91226587484372e-255
5,10_min_break,7.094173603386438e-296
6,10_min_break,2.6476613338488003e-278
7,10_min_break,1.0410751212622098e-285
8,10_min_break,5.808594873687485e-4
9,10_min_break,2.1337055e-317
10,10_min_break,2.3119302718862477e-251
11,10_min_break,4.843160514516625e-279
12,10_min_break,8.12791929647635e-167
1,10_minut_break,5.4116134102631166e-244
2,10_minut_break,1.006711465e-314
3,10_minut_break,6.137950406662414e-248
4,10_minut_break,2.6721882668585654e-276
5,10_minut_break,3.2707274878489487e-258
6,10_minut_break,1.4488642045827894e-257
7,10_minut_break,7.474194646657304e-237
8,10_minut_break,0.0012446989015044616
9,10_minut_break,6.683345506e-314
10,10_minut_break,5.600639765418484e-246
11,10_minut_break,8.02388746051874e-230
12,10_minut_break,6.114134651409847e-198
1,115_hour_week,5.565360943467909e-169
2,115_hour_week,1.0616755770051693e-229
3,115_hour_week,4.495953216516851e-121
4,115_hour_week,3.371622775033e-153
5,115_hour_week,5.0886272356526006e-197
6,115_hour_week,2.531496818850269e-205
7,115_hour_week,6.513979259605391e-224
8,115_hour_week,1.4815706336672644e-223
9,115_hour_week,9.022694580308676e-214
10,115_hour_week,7.998618559637688e-181
11,115_hour_week,1.7346162384404219e-193
12,115_hour_week,1.072118016166322e-4
1,12_14_hour,5.3347765898072423e-191
2,12_14_hour,4.988593788660451e-254
3,12_14_hour,3.724292465070962e-256
4,12_14_hour,3.475031787967096e-180
5,12_14_hour,6.891593435062027e-205
6,12_14_hour,1.3845650157195138e-265
7,12_14_hour,7.56141415327182e-297
8,12_14_hour,2.0871897141175637e-255
9,12_14_hour,3.372064951661294e-290
10,12_14_hour,1.3551616009432541e-246
11,12_14_hour,3.5772210402237856e-197
12,12_14_hour,1.608177024249482e-4
1,12_hour_day,7.936377156814068e-207
2,12_hour_day,2.33049365229857e-266
3,12_hour_day,2.1042632148285633e-268
4,12_hour_day,1.7020628169665408e-173
5,12_hour_day,2.5773270504928285e-252
6,12_hour_day,1.8464262878631763e-244
7,12_hour_day,1.6617823763959488e-235
8,12_hour_day,2.8199752913378927e-199
9,12_hour_day,4.1311929963020866e-266
10,12_hour_day,6.1210706552043796e-238
11,12_hour_day,2.1744027322832455e-245
12,12_hour_day,0.0013937534210162192
1,12_hour_rotat,4.559501141245204e-298
2,12_hour_rotat,0
3,12_hour_rotat,0
4,12_hour_rotat,1.5082316261126342e-4
5,12_hour_rotat,0
6,12_hour_rotat,0
7,12_hour_rotat,1.00858e-318
8,12_hour_rotat,0
9,12_hour_rotat,5.458142407939202e-307
10,12_hour_rotat,2.1138626791286894e-305
11,12_hour_rotat,0
12,12_hour_rotat,1.3324866647245433e-208
1,12_hour_shift,1.4295662141483458e-153
2,12_hour_shift,3.39627390479896e-223
3,12_hour_shift,1.8414131102892683e-225
4,12_hour_shift,5.240279374673687e-55
5,12_hour_shift,6.66053065190623e-231
6,12_hour_shift,5.08067659920888e-209
7,12_hour_shift,1.5234028506336442e-194
8,12_hour_shift,1.7740456755540418e-163
9,12_hour_shift,8.813413004706752e-202
10,12_hour_shift,1.2793496963719088e-158
11,12_hour_shift,6.0497550177855745e-220
12,12_hour_shift,0.0030019304452657027
1,12_hour_swing,3.9762172465790866e-191
2,12_hour_swing,7.470344405151053e-61
3,12_hour_swing,1.5773716087626972e-281
4,12_hour_swing,3.0164632522252684e-4
5,12_hour_swing,3.0504177792108925e-248
6,12_hour_swing,1.0445056875241938e-160
7,12_hour_swing,2.172442824060755e-232
8,12_hour_swing,0
9,12_hour_swing,3.261088597255234e-227
10,12_hour_swing,3.938803374122109e-195
11,12_hour_swing,1.804578680761352e-256
12,12_hour_swing,4.918566008793536e-126
1,12_hr_shift,2.4870202035684105e-174
2,12_hr_shift,7.6542185428897325e-239
3,12_hr_shift,2.2192283450453397e-240
4,12_hr_shift,1.7084760422676562e-71
5,12_hr_shift,1.8243844981283686e-205
6,12_hr_shift,5.504787233759683e-225
7,12_hr_shift,3.841970641549119e-192
8,12_hr_shift,3.734096704513385e-4
9,12_hr_shift,2.6262614781535992e-188
10,12_hr_shift,8.544729325029671e-169
11,12_hr_shift,4.54456062936248e-218
12,12_hr_shift,3.6249125258204024e-135
1,1215_hour_day,8.875964141452526e-156
2,1215_hour_day,0
3,1215_hour_day,7.842715272903197e-308
4,1215_hour_day,6.0530942828565944e-229
5,1215_hour_day,4.59e-321
6,1215_hour_day,3.4324831733951545e-298
7,1215_hour_day,4.2374986043099026e-283
8,1215_hour_day,6.991418303604101e-212
9,1215_hour_day,0
10,1215_hour_day,3.635947820434282e-261
11,1215_hour_day,0
12,1215_hour_day,1.072118016166322e-4
1,14_hour_day,1.8608111507716415e-218
2,14_hour_day,2.233258199521795e-263
3,14_hour_day,3.9945883909670197e-253
4,14_hour_day,1.2006291225138277e-198
5,14_hour_day,1.1763611427267083e-242
6,14_hour_day,5.819565335182089e-265
7,14_hour_day,5.232257836509517e-276
8,14_hour_day,3.0682684423773104e-228
9,14_hour_day,5.862782658925541e-296
10,14_hour_day,1.339352081962598e-252
11,14_hour_day,1.1394527205442112e-238
12,14_hour_day,4.824531072748452e-4
1,15_min_break,1.714239279145544e-255
2,15_min_break,1.4e-322
3,15_min_break,0
4,15_min_break,2.1036555982049223e-291
5,15_min_break,1.4410213131453517e-301
6,15_min_break,5.972340139511106e-282
7,15_min_break,2.1238236019625175e-297
8,15_min_break,0.0018255583888732098
9,15_min_break,0
10,15_min_break,3.4585656674078293e-289
11,15_min_break,2.2170735801847962e-277
12,15_min_break,2.05892536812572e-205
1,15_minut_break,4.57657211091903e-277
2,15_minut_break,0
3,15_minut_break,9.7e-322
4,15_minut_break,1.36145e-319
5,15_minut_break,0
6,15_minut_break,0
7,15_minut_break,0
8,15_minut_break,0.0023234379494749945
9,15_minut_break,0
10,15_minut_break,2.51069783539399e-297
11,15_minut_break,5.838001727162553e-287
12,15_minut_break,2.8650103213581924e-240
1,16_hour_day,4.484543535464777e-218
2,16_hour_day,4.6637493560095035e-173
3,16_hour_day,7.642079566342984e-187
4,16_hour_day,1.3606960790004677e-174
5,16_hour_day,1.8671019318219796e-178
6,16_hour_day,1.7260947584784918e-187
7,16_hour_day,8.528577639046346e-228
8,16_hour_day,3.828553973268672e-271
9,16_hour_day,2.8917086891881956e-230
10,16_hour_day,7.78855049652748e-203
11,16_hour_day,2.7563048024556164e-158
12,16_hour_day,2.6802950404158075e-4
1,18_month_contract,1.7041325392397927e-155
2,18_month_contract,1.8977654672836834e-164
3,18_month_contract,2.88959242056184e-223
4,18_month_contract,1.336557692667759e-66
5,18_month_contract,8.833939496631405e-213
6,18_month_contract,8.672384076484891e-159
7,18_month_contract,5.285231406871229e-31
8,18_month_contract,3.3332215091099997e-192
9,18_month_contract,1.0036610662126505e-4
10,18_month_contract,6.224429160821791e-179
11,18_month_contract,1.7929314018575265e-219
12,18_month_contract,4.696368462516133e-161
