topic,term,beta
1,’_care,3.7178177054483315e-128
2,’_care,7.615263943200113e-147
3,’_care,7.927693478123471e-160
4,’_care,3.4769915914414247e-149
5,’_care,1.030328167848858e-4
6,’_care,9.278779915978152e-162
7,’_care,2.9579039946444787e-250
8,’_care,2.6051745007157176e-55
9,’_care,5.780242593338638e-120
10,’_care,1.483225886145504e-63
1,’_re,1.7182570874027327e-55
2,’_re,4.585797274783635e-136
3,’_re,6.293357100343125e-104
4,’_re,3.471890002347295e-4
5,’_re,2.401462220696033e-79
6,’_re,1.0127206612273132e-90
7,’_re,8.550592794859579e-128
8,’_re,6.076146864764841e-54
9,’_re,2.456249563976271e-35
10,’_re,6.198534418355437e-26
1,1_hour_lunch,4.267902124449877e-291
2,1_hour_lunch,3.993525217784484e-172
3,1_hour_lunch,3.792448016063019e-274
4,1_hour_lunch,2.784539260920103e-215
5,1_hour_lunch,1.289306898562e-252
6,1_hour_lunch,9.531858089639519e-145
7,1_hour_lunch,3.3319627113013723e-4
8,1_hour_lunch,1.949046010132354e-164
9,1_hour_lunch,6.59883448304786e-194
10,1_hour_lunch,3.2245830888052053e-196
1,1_minut_late,1.8103395617493749e-78
2,1_minut_late,2.431379684116986e-140
3,1_minut_late,6.957853825720743e-120
4,1_minut_late,4.9901548094849745e-200
5,1_minut_late,1.030328167848858e-4
6,1_minut_late,1.3128720431202294e-146
7,1_minut_late,1.1045481481945538e-91
8,1_minut_late,3.914451469894063e-172
9,1_minut_late,2.63926462799481e-175
10,1_minut_late,2.4157121410576593e-140
1,1_short_break,0
2,1_short_break,1.276234748774536e-4
3,1_short_break,2.1812678354740812e-284
4,1_short_break,5.518051150306505e-280
5,1_short_break,4.059863263527589e-259
6,1_short_break,3.1199998797358134e-286
7,1_short_break,8.240905211789004e-187
8,1_short_break,6.891653413741446e-285
9,1_short_break,8.907610460312415e-289
10,1_short_break,9.398617144e-315
1,1_weekend_month,7.911798069738787e-149
2,1_weekend_month,1.2498781666725404e-254
3,1_weekend_month,1.0144151878534542e-210
4,1_weekend_month,1.3973473553100772e-141
5,1_weekend_month,5.195253545729239e-127
6,1_weekend_month,1.4402029865384456e-139
7,1_weekend_month,5.452673252174128e-222
8,1_weekend_month,2.1746151070962523e-141
9,1_weekend_month,9.461674524309508e-105
10,1_weekend_month,1.9405670851550954e-4
1,10_hour_day,7.876171816358574e-140
2,10_hour_day,4.986242526599849e-72
3,10_hour_day,2.301647327127542e-134
4,10_hour_day,1.4791942084878714e-61
5,10_hour_day,8.242625342790647e-4
6,10_hour_day,7.613873644144468e-62
7,10_hour_day,7.635055809693569e-79
8,10_hour_day,1.7011949599722194e-17
9,10_hour_day,1.0841301580813606e-89
10,10_hour_day,4.738570927580986e-125
1,10_hour_shift,2.8823946186093224e-244
2,10_hour_shift,2.9022440365460957e-112
3,10_hour_shift,2.2454276508526057e-211
4,10_hour_shift,6.365131670970039e-4
5,10_hour_shift,2.364448121114893e-212
6,10_hour_shift,3.2514280296849364e-183
7,10_hour_shift,2.6247355899695835e-166
8,10_hour_shift,2.154305424871044e-160
9,10_hour_shift,2.226240544170799e-184
10,10_hour_shift,1.1917087532578074e-166
1,10_hr_shift,0
2,10_hr_shift,0
3,10_hr_shift,1.346123490565882e-242
4,10_hr_shift,1.7359450011736457e-4
5,10_hr_shift,4.6845285186821445e-239
6,10_hr_shift,5.293380297096425e-205
7,10_hr_shift,0
8,10_hr_shift,2.1416992959411853e-245
9,10_hr_shift,8.151988536807797e-228
10,10_hr_shift,1.876375853053422e-250
1,10_min_break,2.3703720652682466e-236
2,10_min_break,1.34652088345944e-134
3,10_min_break,2.5143363071285342e-176
4,10_min_break,2.6795467812418065e-111
5,10_min_break,1.0908502556165184e-199
6,10_min_break,0.0010211238016681597
7,10_min_break,3.6350576389519854e-123
8,10_min_break,9.690830245378407e-174
9,10_min_break,4.958201999996705e-193
10,10_min_break,1.3075976291294824e-182
1,10_minut_break,8.40578594761091e-218
2,10_minut_break,2.5441860375135975e-98
3,10_minut_break,6.262322173612066e-181
4,10_minut_break,6.456490182233884e-207
5,10_minut_break,1.3676024420317802e-208
6,10_minut_break,2.242504750366739e-120
7,10_minut_break,0.001249486016738016
8,10_minut_break,1.9993104810648604e-190
9,10_minut_break,1.9756845289828695e-201
10,10_minut_break,4.1429495990759605e-182
1,115_hour_week,3.299118104685332e-181
2,115_hour_week,2.115024993123965e-219
3,115_hour_week,1.159495364842438e-4
4,115_hour_week,5.017049600252889e-159
5,115_hour_week,2.0202512727623476e-105
6,115_hour_week,9.533845466257158e-179
7,115_hour_week,3.3668650366968778e-254
8,115_hour_week,2.0173622000607885e-145
9,115_hour_week,4.049740628581268e-90
10,115_hour_week,3.4083741782012247e-195
1,12_14_hour,2.3525638694124564e-114
2,12_14_hour,7.882699703910979e-221
3,12_14_hour,6.093856474449384e-180
4,12_14_hour,5.661189044425242e-174
5,12_14_hour,1.5454922517732888e-4
6,12_14_hour,6.450716070446895e-174
7,12_14_hour,8.992957262258152e-282
8,12_14_hour,1.1379883689416032e-73
9,12_14_hour,2.076055115863701e-142
10,12_14_hour,6.650878136522634e-144
1,12_hour_day,2.418727312890871e-182
2,12_hour_day,2.1755316084435903e-191
3,12_hour_day,1.4824532034590504e-171
4,12_hour_day,2.7473387474639508e-101
5,12_hour_day,4.596495065845438e-78
6,12_hour_day,8.179646849633174e-59
7,12_hour_day,7.211065501311603e-163
8,12_hour_day,0.0010444385616615003
9,12_hour_day,4.023187575626608e-91
10,12_hour_day,7.952101790644272e-139
1,12_hour_rotat,0
2,12_hour_rotat,0
3,12_hour_rotat,5.846865062616524e-211
4,12_hour_rotat,1.157296667449098e-4
5,12_hour_rotat,7.656099213334038e-243
6,12_hour_rotat,2.2555227460254904e-162
7,12_hour_rotat,0
8,12_hour_rotat,1.9993521760882273e-201
9,12_hour_rotat,3.2041935302389234e-244
10,12_hour_rotat,2.2309229557808015e-277
1,12_hour_shift,6.193743864600879e-261
2,12_hour_shift,5.853056492023068e-242
3,12_hour_shift,3.407519781396738e-244
4,12_hour_shift,0.0032404306688574754
5,12_hour_shift,2.3641697936280027e-216
6,12_hour_shift,4.6275075984886795e-183
7,12_hour_shift,5.511094179971371e-257
8,12_hour_shift,1.9082071714467607e-144
9,12_hour_shift,2.9520704296179842e-204
10,12_hour_shift,1.629547335476026e-221
1,12_hour_swing,0
2,12_hour_swing,0
3,12_hour_swing,6.92e-321
4,12_hour_swing,2.3145933348981963e-4
5,12_hour_swing,0
6,12_hour_swing,5.814581594029968e-277
7,12_hour_swing,0
8,12_hour_swing,2.2078547207727974e-207
9,12_hour_swing,2.310528514800712e-309
10,12_hour_swing,3.28194870225e-311
1,12_hr_shift,6.616985072055251e-269
2,12_hr_shift,7.928151193695247e-241
3,12_hr_shift,8.340281583347722e-209
4,12_hr_shift,5.207835003520939e-4
5,12_hr_shift,2.014203511012297e-146
6,12_hr_shift,2.702617165597044e-130
7,12_hr_shift,8.236617527911549e-246
8,12_hr_shift,1.4608977294258563e-205
9,12_hr_shift,5.339998675825535e-210
10,12_hr_shift,7.786231322293659e-177
1,1215_hour_day,1.0367952712212704e-219
2,1215_hour_day,8.235252401673781e-251
3,1215_hour_day,3.931410308718391e-179
4,1215_hour_day,1.3265279584611165e-86
5,1215_hour_day,2.5366730741265556e-73
6,1215_hour_day,1.458748288097372e-4
7,1215_hour_day,1.386969262387784e-192
8,1215_hour_day,4.196179649074618e-36
9,1215_hour_day,9.68076030146975e-87
10,1215_hour_day,1.8985785329028508e-126
1,14_hour_day,2.68972273908776e-92
2,14_hour_day,1.9705305546778863e-169
3,14_hour_day,8.543440889052018e-167
4,14_hour_day,7.031715979511755e-100
5,14_hour_day,4.636476755319864e-4
6,14_hour_day,4.320992163186271e-129
7,14_hour_day,4.549774119413679e-245
8,14_hour_day,4.1991796855440665e-20
