topic,term,beta
1,1_hour_break,3.333174961198551e-24
2,1_hour_break,3.228876971609546e-24
3,1_hour_break,6.4867895696965176e-12
4,1_hour_break,2.023997002489319e-12
5,1_hour_break,3.9377269693981134e-8
6,1_hour_break,1.403559209896967e-23
7,1_hour_break,5.368782480581979e-20
8,1_hour_break,7.792061521878451e-5
9,1_hour_break,2.8509822265577245e-30
10,1_hour_break,1.3784797060570438e-19
1,1_hour_lunch,4.33197813176455e-7
2,1_hour_lunch,4.1963828250451604e-7
3,1_hour_lunch,2.40281262108226e-11
4,1_hour_lunch,0.007587513170013204
5,1_hour_lunch,8.146904344458945e-29
6,1_hour_lunch,1.762953818146964e-8
7,1_hour_lunch,3.494844460691567e-5
8,1_hour_lunch,8.438319576282231e-17
9,1_hour_lunch,4.757312835278159e-16
10,1_hour_lunch,1.6859333629913461e-19
1,1_hr_lunch,1.4818029748370382e-11
2,1_hr_lunch,1.435446838350838e-11
3,1_hr_lunch,8.587216756113606e-18
4,1_hr_lunch,4.4918882283214724e-11
5,1_hr_lunch,1.2494699233956518e-10
6,1_hr_lunch,6.060217794376875e-9
7,1_hr_lunch,2.0870972536434508e-26
8,1_hr_lunch,5.583620775380234e-4
9,1_hr_lunch,1.2361195742936506e-6
10,1_hr_lunch,3.7819701347892505e-4
1,10_discount_card,4.874949185242012e-9
2,10_discount_card,4.722401375559733e-9
3,10_discount_card,2.0820836125559988e-4
4,10_discount_card,1.1855934505742597e-9
5,10_discount_card,1.2186684933476307e-9
6,10_discount_card,2.517161408111862e-13
7,10_discount_card,8.869429107164817e-7
8,10_discount_card,5.67297057166896e-8
9,10_discount_card,4.614122068593341e-13
10,10_discount_card,4.423615732760432e-22
1,10_discount_flexibl,6.598156385746963e-5
2,10_discount_flexibl,6.3914033720345e-5
3,10_discount_flexibl,2.961094672320912e-29
4,10_discount_flexibl,1.6850434620788022e-11
5,10_discount_flexibl,7.378342623297081e-6
6,10_discount_flexibl,4.327611855599439e-7
7,10_discount_flexibl,8.119051567021751e-7
8,10_discount_flexibl,1.1291040113244354e-23
9,10_discount_flexibl,1.3078552296740504e-11
10,10_discount_flexibl,1.07922553995882e-25
1,10_discount_groceri,1.833069152333362e-4
2,10_discount_groceri,1.7772359227422288e-4
3,10_discount_groceri,1.2964307822375714e-11
4,10_discount_groceri,1.8251078318488192e-12
5,10_discount_groceri,4.5645485992322697e-14
6,10_discount_groceri,6.50441799772996e-10
7,10_discount_groceri,4.5173029834293745e-15
8,10_discount_groceri,3.7485551550188933e-22
9,10_discount_groceri,4.120725574469996e-20
10,10_discount_groceri,1.5712365939053324e-23
1,10_discount_kroger,9.92017252424788e-9
2,10_discount_kroger,9.609697841732277e-9
3,10_discount_kroger,1.884543067848906e-24
4,10_discount_kroger,9.773145610187495e-10
